BCU,year,urb_rur,tec,unit,value
1,2025,rural,grid,GWh,1.09
2,2025,rural,grid,GWh,16.68
3,2025,rural,grid,GWh,1.93
4,2025,rural,grid,GWh,27.53
5,2025,rural,grid,GWh,29.13
6,2025,rural,grid,GWh,37.47
7,2025,rural,grid,GWh,90.84
8,2025,rural,grid,GWh,46.94
9,2025,rural,grid,GWh,10.07
10,2025,rural,grid,GWh,5.54
11,2025,rural,grid,GWh,16.18
12,2025,rural,grid,GWh,2.38
13,2025,rural,grid,GWh,20.77
14,2025,rural,grid,GWh,6.38
15,2025,rural,grid,GWh,11.67
16,2025,rural,grid,GWh,29.13
17,2025,rural,grid,GWh,53.42
18,2025,rural,grid,GWh,13.83
19,2025,rural,grid,GWh,6.39
20,2025,rural,grid,GWh,23.35
21,2025,rural,grid,GWh,1.14
22,2025,rural,grid,GWh,16.7
23,2025,rural,grid,GWh,29.25
24,2025,rural,grid,GWh,0.39
1,2025,rural,mg_hydro,GWh,0
2,2025,rural,mg_hydro,GWh,0
3,2025,rural,mg_hydro,GWh,0
4,2025,rural,mg_hydro,GWh,0.08
5,2025,rural,mg_hydro,GWh,0
6,2025,rural,mg_hydro,GWh,0
7,2025,rural,mg_hydro,GWh,0
8,2025,rural,mg_hydro,GWh,0.42
9,2025,rural,mg_hydro,GWh,0
10,2025,rural,mg_hydro,GWh,0
11,2025,rural,mg_hydro,GWh,0
12,2025,rural,mg_hydro,GWh,0
13,2025,rural,mg_hydro,GWh,0
14,2025,rural,mg_hydro,GWh,0
15,2025,rural,mg_hydro,GWh,0.04
16,2025,rural,mg_hydro,GWh,0.31
17,2025,rural,mg_hydro,GWh,0.42
18,2025,rural,mg_hydro,GWh,0
19,2025,rural,mg_hydro,GWh,0
20,2025,rural,mg_hydro,GWh,0
21,2025,rural,mg_hydro,GWh,0.04
22,2025,rural,mg_hydro,GWh,0
23,2025,rural,mg_hydro,GWh,0.06
24,2025,rural,mg_hydro,GWh,0
1,2025,rural,mg_pv,GWh,0.02
2,2025,rural,mg_pv,GWh,4.3
3,2025,rural,mg_pv,GWh,3.23
4,2025,rural,mg_pv,GWh,8.91
5,2025,rural,mg_pv,GWh,2.53
6,2025,rural,mg_pv,GWh,0.65
7,2025,rural,mg_pv,GWh,9.31
8,2025,rural,mg_pv,GWh,7.76
9,2025,rural,mg_pv,GWh,0.16
10,2025,rural,mg_pv,GWh,0.19
11,2025,rural,mg_pv,GWh,0.36
12,2025,rural,mg_pv,GWh,0.05
13,2025,rural,mg_pv,GWh,7.78
14,2025,rural,mg_pv,GWh,14.34
15,2025,rural,mg_pv,GWh,3.9
16,2025,rural,mg_pv,GWh,12.67
17,2025,rural,mg_pv,GWh,18.08
18,2025,rural,mg_pv,GWh,3.13
19,2025,rural,mg_pv,GWh,0.18
20,2025,rural,mg_pv,GWh,4.99
21,2025,rural,mg_pv,GWh,1.24
22,2025,rural,mg_pv,GWh,5.15
23,2025,rural,mg_pv,GWh,31.46
24,2025,rural,mg_pv,GWh,3.31
1,2025,rural,sa_pv,GWh,0
2,2025,rural,sa_pv,GWh,0.42
3,2025,rural,sa_pv,GWh,0.45
4,2025,rural,sa_pv,GWh,12.9
5,2025,rural,sa_pv,GWh,0
6,2025,rural,sa_pv,GWh,0
7,2025,rural,sa_pv,GWh,0
8,2025,rural,sa_pv,GWh,8.72
9,2025,rural,sa_pv,GWh,0
10,2025,rural,sa_pv,GWh,0
11,2025,rural,sa_pv,GWh,0
12,2025,rural,sa_pv,GWh,0
13,2025,rural,sa_pv,GWh,6.24
14,2025,rural,sa_pv,GWh,2.67
15,2025,rural,sa_pv,GWh,0.24
16,2025,rural,sa_pv,GWh,5.07
17,2025,rural,sa_pv,GWh,5.17
18,2025,rural,sa_pv,GWh,0.48
19,2025,rural,sa_pv,GWh,0
20,2025,rural,sa_pv,GWh,14.41
21,2025,rural,sa_pv,GWh,6.66
22,2025,rural,sa_pv,GWh,17.26
23,2025,rural,sa_pv,GWh,110.61
24,2025,rural,sa_pv,GWh,13.44
1,2025,urban,grid,GWh,5.74
2,2025,urban,grid,GWh,298.68
3,2025,urban,grid,GWh,16.04
4,2025,urban,grid,GWh,72.53
5,2025,urban,grid,GWh,1157.79
6,2025,urban,grid,GWh,40.57
7,2025,urban,grid,GWh,242.46
8,2025,urban,grid,GWh,500.06
9,2025,urban,grid,GWh,2063.73
10,2025,urban,grid,GWh,9.83
11,2025,urban,grid,GWh,197
12,2025,urban,grid,GWh,32.57
13,2025,urban,grid,GWh,159.45
14,2025,urban,grid,GWh,15.64
15,2025,urban,grid,GWh,201.15
16,2025,urban,grid,GWh,154.64
17,2025,urban,grid,GWh,222.21
18,2025,urban,grid,GWh,66.28
19,2025,urban,grid,GWh,2.69
20,2025,urban,grid,GWh,143.7
21,2025,urban,grid,GWh,0
22,2025,urban,grid,GWh,162.45
23,2025,urban,grid,GWh,182.56
24,2025,urban,grid,GWh,3.07
