,2025,2030
1.Population_Grid,3438521.61462626,6493762.608545109
1.Population_SA_Diesel,0,0
1.Population_SA_PV,1009010.4533602772,2310454.570457692
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,6055.982575999999,15136.213785
1.Population_MG_PV_Hybrid,924630.6203149001,867311.6076117697
1.Population_MG_Wind_Hybrid,0,0
2.New_Connections_Grid,1610840.6445779107,2433562.6849794374
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,1009010.4533602772,1573313.5240198942
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,6055.982575999999,15136.213785
2.New_Connections_MG_PV_Hybrid,924630.6203149001,299392.90673777007
2.New_Connections_MG_Wind_Hybrid,0,0
3.Capacity_Grid,118106.02996543128,112281.25235566596
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,6171.48449202304,11968.418137975825
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,59.160353098203565,155.12142370889333
3.Capacity_MG_PV_Hybrid,9289.362373377679,3179.1273061285287
3.Capacity_MG_Wind_Hybrid,0,0
4.Investment_Grid,382972833.8579468,521041702.06124246
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,54080016.59138131,103267921.64615083
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,354524.64186465304,1113091.6479203016
4.Investment_MG_PV_Hybrid,52700281.89739279,20708624.414267015
4.Investment_MG_Wind_Hybrid,0,0
